,City,Names,Bed,Bath,Area,Rating,location,petsallowed,pool,fitnessCenter,gated,grill,closet,washerdryer,countertops,access,Rent
116,denton,205 E Windsor Dr,3 ,2 ,"1,070 ",?,"205 E Windsor Dr,
                Denton,
                
TX
76209",0,0,0,0,0,0,0,0,0,"1,850"
117,denton,904 W Oak St,4 ,2 ,"1,936 ",?,"904 W Oak St,
                Denton,
                
TX
76201",0,0,0,0,0,0,1,0,0,"3,000"
118,denton,3616 Jackson Hollow,4 ,2 ,"2,078 ",?,"3616 Jackson Hollow,
                Denton,
                
TX
76207",0,0,0,0,0,0,1,0,0,"2,850"
119,denton,317 Tripp Trail,4 ,2 ,"2,397 ",?,"317 Tripp Trail,
                Denton,
                
TX
76207",0,0,0,0,0,0,0,0,0,"2,450"
120,denton,304 Wilson Way,4 ,2 ,"2,080 ",?,"304 Wilson Way,
                Denton,
                
TX
76207",0,0,0,0,0,0,0,0,0,"2,300"
121,denton,716 Ticonderoga Dr,4 ,4 ,"2,375 ",?,"716 Ticonderoga Dr,
                Denton,
                
TX
76205",0,0,0,0,0,0,0,0,0,"2,568"
122,denton,2601 Stone Mantle Ln,5 ,4.5 ,"3,158 ",?,"2601 Stone Mantle Ln,
                Denton,
                
TX
76201",0,0,0,0,0,0,0,0,0,"3,099"
123,denton,3529 Camino Real Trail,3 ,2 ,"1,363 ",?,"3529 Camino Real Trail,
                Denton,
                
TX
76208",0,0,0,0,0,0,1,0,0,"2,000"
124,denton,3108 Union Lake Rd,4 ,2.5 ,"3,046 ",?,"3108 Union Lake Rd,
                Denton,
                
TX
76210",0,0,0,0,0,0,0,0,0,"2,300"
125,denton,2428 W Prairie St,1 ,1 ,441 ,?,"2428 W Prairie St,
                Denton,
                
TX
76201",?,0,0,0,0,0,0,0,0,730
126,denton,2217 Lookout Ln,3 ,2 ,"1,618 ",?,"2217 Lookout Ln,
                Denton,
                
TX
76207",0,0,0,0,0,1,0,0,0,"2,000"
127,denton,2221 Greystone Dr,3 ,2.5 ,"1,604 ",?,"2221 Greystone Dr,
                Denton,
                
TX
76207",0,0,0,0,0,0,0,0,0,"2,300"
128,denton,4701 Beaver Creek Ave,4 ,2.5 ,"2,313 ",?,"4701 Beaver Creek Ave,
                Denton,
                
TX
76207",0,0,0,0,0,0,0,0,0,"2,429"
129,denton,1000 S Ave B,3 ,1.5 ,"1,032 ",?,"1000 S Ave B,
                Denton,
                
TX
76201",?,0,0,0,0,0,0,0,0,"1,650"
130,denton,4525 Teasley Ln,4 ,2 ,"2,915 ",?,"4525 Teasley Ln,
                Denton,
                
TX
76210",0,0,0,0,0,0,0,0,0,"2,495"
131,denton,2324 Northway,3 ,2 ,"1,618 ",?,"2324 Northway,
                Denton,
                
TX
76207",0,0,0,0,0,1,0,0,0,"1,995"
132,denton,6287 Pockrus Page Rd,1 ,1 ,600 ,?,"6287 Pockrus Page Rd,
                Denton,
                
TX
76208",0,0,0,0,0,0,0,0,0,"1,195"
133,denton,5408 Del Rey Dr,4 ,2.5 ,"1,816 ",?,"5408 Del Rey Dr,
                Denton,
                
TX
76208",0,0,0,0,0,0,0,0,0,"1,950"
134,denton,1908 Tawny Dr,4 ,2 ,"1,736 ",?,"1908 Tawny Dr,
                Denton,
                
TX
76205",0,0,0,0,0,1,0,0,0,"2,400"
135,denton,5409 Pagewood Dr,4 ,2 ,"1,856 ",?,"5409 Pagewood Dr,
                Denton,
                
TX
76207",0,0,0,0,0,0,0,0,0,"2,495"
136,denton,2309 Vanderbilt Ct,3 ,2 ,"1,546 ",?,"2309 Vanderbilt Ct,
                Denton,
                
TX
76201",0,0,0,0,0,0,0,0,0,"1,595"
137,denton,2521 Champlain Ln,4 ,2 ,"1,716 ",?,"2521 Champlain Ln,
                Denton,
                
TX
76210",0,0,0,0,0,0,1,0,0,"3,800"
