,City,Names,Bed,Area,Rating,location,petsallowed,pool,fitnessCenter,grill,closet,washerdryer,countertops,access,Rent
90,denton,3925 N Elm St Unit 4 - 4304.916014,1.0,720.0,3.0,"3925 N Elm St,
                Denton,
                
TX
76207",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2055.0
91,denton,1507 Mingo Rd,1.0,1286.0,3.0,"1507 Mingo Rd,
                Denton,
                
TX
76209",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,825.0
92,denton,2609 Pinto Dr,3.0,2073.0,3.0,"2609 Pinto Dr,
                Denton,
                
TX
76210",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500.0
93,denton,3925 N Elm St Unit 4 - 4210.1205506,1.0,773.0,3.0,"3925 N Elm St,
                Denton,
                
TX
76207",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2422.0
94,denton,716 Ticonderoga Dr,4.0,1286.0,3.0,"716 Ticonderoga Dr,
                Denton,
                
TX
76205",0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2568.0
95,denton,6212 Thoroughbred Trail,4.0,2073.0,3.0,"6212 Thoroughbred Trail,
                Denton,
                
TX
76210",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0
96,denton,3608 Marianne Cir,6.0,2073.0,3.0,"3608 Marianne Cir,
                Denton,
                
TX
76209",1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3200.0
97,denton,2421 Wildwood Lane,3.0,1276.0,3.0,"2421 Wildwood Ln,
                Denton,
                
TX
76210",1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1995.0
98,denton,1112 Autumn Oak Dr,3.0,1286.0,3.0,"1112 Autumn Oak Dr,
                Denton,
                
TX
76209",1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1799.0
99,denton,1601 Bunting Dr,3.0,2073.0,3.0,"1601 Bunting Dr,
                Northlake,
                
TX
76226",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3300.0
100,denton,2000 Lee Dr,3.0,1244.0,3.0,"2000 Lee Dr,
                Denton,
                
TX
76209",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1895.0
101,denton,2420 Louise St Unit 1,1.0,810.0,3.0,"2420 Louise St,
                Denton,
                
TX
76201",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1175.0
102,denton,601 Bolivar St,3.0,1310.0,3.0,"601 Bolivar St,
                Denton,
                
TX
76201",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1795.0
103,denton,1026 W Hickory St,5.0,2073.0,3.0,"1026 W Hickory St,
                Denton,
                
TX
76201",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3500.0
104,denton,828 Abbots Ln,4.0,2073.0,3.0,"828 Abbots Ln,
                Denton,
                
TX
76205",0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2500.0
105,denton,116 Samuel St,3.0,1527.0,3.0,"116 Samuel St,
                Denton,
                
TX
76207",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0
106,denton,3505 Lipizzan Dr,3.0,1860.0,3.0,"3505 Lipizzan Dr,
                Denton,
                
TX
76210",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2245.0
107,denton,6005 English Saddle Ln,3.0,2073.0,3.0,"6005 English Saddle Ln,
                Denton,
                
TX
76210",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2545.0
108,denton,8605 Mild Creek Ln,3.0,1860.0,3.0,"8605 Mild Creek Ln,
                Denton,
                
TX
76210",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1995.0
109,denton,2104 Moonsail Ln,4.0,2033.0,3.0,"2104 Moonsail Ln,
                Denton,
                
TX
76210",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2675.0
110,denton,1017 Collier St,1.0,1392.0,3.0,"1017 Collier St,
                Denton,
                
TX
76201",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0
111,denton,5417 Galante Ln,4.0,1785.0,3.0,"5417 Galante Ln,
                Denton,
                
TX
76208",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2150.0
113,denton,7713 Settlement Dr,3.0,1701.0,3.0,"7713 Settlement Dr,
                Denton,
                
TX
76210",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1950.0
114,denton,1112 Tallahassee Dr,3.0,1781.0,3.0,"1112 Tallahassee Dr,
                Denton,
                
TX
76208",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2300.0
115,denton,627 Woodland St,3.0,2073.0,3.0,"627 Woodland St,
                Denton,
                
TX
76209",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2850.0
116,denton,205 E Windsor Dr,3.0,1070.0,3.0,"205 E Windsor Dr,
                Denton,
                
TX
76209",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1850.0
117,denton,904 W Oak St,4.0,1936.0,3.0,"904 W Oak St,
                Denton,
                
TX
76201",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3000.0
118,denton,3616 Jackson Hollow,4.0,2073.0,3.0,"3616 Jackson Hollow,
                Denton,
                
TX
76207",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2850.0
119,denton,317 Tripp Trail,4.0,2073.0,3.0,"317 Tripp Trail,
                Denton,
                
TX
76207",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2450.0
120,denton,304 Wilson Way,4.0,2073.0,3.0,"304 Wilson Way,
                Denton,
                
TX
76207",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2300.0
